_col0,primary_category
27,dumpling_restaurant
1789,dumpster_rentals
123,duplication_services
754,duty_free_shop
27766,e_cigarette_store
7736,e_commerce_service
12970,ear_nose_and_throat
2733,eastern_european_restaurant
124954,eat_and_drink
198,eatertainment
2,eating_disorder_treatment_centers
279,ecuadorian_restaurant
103,editorial_services
484820,education
4567,educational_camp
15874,educational_research_institute
63924,educational_services
5269,educational_supply_store
716,egyptian_restaurant
27,elder_care_planning
8719,electric_utility_provider
2,electrical_consultant
7595,electrical_supply_store
389,electrical_wholesaler
75324,electrician
3809,electricity_supplier
4417,electronic_parts_supplier
209092,electronics
1900,electronics_repair_shop
469994,elementary_school
6643,elevator_service
16131,embassy
1654,embroidery_and_crochet
4302,emergency_medicine
759,emergency_pet_hospital
2135,emergency_roadside_service
7829,emergency_room
902,emergency_service
4065,emissions_inspection
36,empanadas
74399,employment_agencies
8450,employment_law
4,ems_training
4581,endocrinologist
4005,endodontist
32,endoscopist
26443,energy_company
25108,energy_equipment_and_solution
709,energy_management_and_conservation_consultants
5554,engine_repair_service
477,engineering_schools
149206,engineering_services
412,engraving
180,entertainment_law
234,environmental_abatement_services
6958,environmental_and_ecological_services_for_businesses
6863,environmental_conservation_and_ecological_organizations
13662,environmental_conservation_organization
7,environmental_medicine
124,environmental_renewable_natural_resource
2701,environmental_testing
299,episcopal_church
17041,equestrian_facility
194,erotic_massage
8502,escape_rooms
2968,escrow_services
1097,esports_league
587,esports_team
283,estate_liquidation
2928,estate_planning_law
43,esthetician
2360,ethical_grocery
1449,ethiopian_restaurant
9949,european_restaurant
23372,ev_charging_station
32849,evangelical_church
69259,event_photography
528601,event_planning
631,event_technology_service
8612,excavation_service
645,executive_search_consultants
31,exhaust_and_muffler_repair
193,exhibition_and_trade_center
974,exporters
82,exterior_design
24917,eye_care_clinic
454,eyebrow_service
1202,eyelash_service
149212,eyewear_and_optician
33026,fabric_store
331,fabric_wholesaler
44,face_painting
10622,fair
215,falafel_restaurant
2477,family_counselor
48054,family_practice
441,family_service_center
230206,farm
6237,farm_equipment_and_supply
249,farm_equipment_repair_service
27,farm_insurance
48298,farmers_market
1052,farming_equipment_store
5819,farming_services
26,farrier_services
130555,fashion
105939,fashion_accessories_store
478056,fast_food_restaurant
727,fastener_supplier
457,federal_government_offices
12101,fence_and_gate_sales_service
804,fencing_club
50,feng_shui
7304,ferry_boat_company
350,ferry_service
4052,fertility
494,fertilizer_store
367,festival
32,fidelity_and_surety_bonds
12676,filipino_restaurant
87,film_festivals_and_organizations
42504,financial_advising
225470,financial_service
386,fingerprinting_service
6235,fire_and_water_damage_restoration
69369,fire_department
21295,fire_protection_service
384,firearm_training
7091,fireplace_service
458,firewood
9149,firework_retailer
2720,first_aid_class
14567,fish_and_chips_restaurant
4576,fish_farm
156,fish_farms_and_hatcheries
11,fish_restaurant
3599,fishing_charter
10980,fishing_club
19817,fishmonger
292,fitness_equipment_wholesaler
838,fitness_exercise_equipment
30223,fitness_trainer
41,flatbread_restaurant
23294,flea_market
6637,flight_school
32,float_spa
7572,flooring_contractors
6055,flooring_store
104,floral_designer
18266,florist
84,flour_mill
34,flower_markets
390684,flowers_and_gifts_shop
65,flyboarding_center
3,flyboarding_rental
128,fmcg_wholesaler
3438,fondue_restaurant
28511,food
515,food_and_beverage_consultant
785,food_and_beverage_exporter
649,food_banks
58702,food_beverage_service_distribution
2796,food_consultant
113,food_court
47195,food_delivery_service
651,food_safety_training
72315,food_stand
904,food_tours
37597,food_truck
448,foot_care
165,football_club
9129,football_stadium
56,footwear_wholesaler
7376,forest
30,forestry_consultants
687,forestry_service
491,forklift_dealer
1125,formal_wear_store
1350,fort
86,fortune_telling_service
1784,foster_care_services
457,foundation_repair
15562,fountain
2783,framing_store
114,fraternal_organization
29,free_diving_center
156239,freight_and_cargo_service
3179,freight_forwarding_agency
53890,french_restaurant
5,friterie
762,frozen_foods
6478,frozen_yoghurt_shop
54347,fruits_and_vegetables
14,fuel_dock
104612,funeral_services_and_cemeteries
532,fur_clothing
1943,furniture_accessory_store
21090,furniture_assembly
11634,furniture_manufacturers
565,furniture_rental_service
681,furniture_repair
292,furniture_reupholstery
412097,furniture_store
984,furniture_wholesalers
14,futsal_field
6574,game_publisher
16,game_truck_rental
14066,garage_door_service
36051,garbage_collection_service
16206,gardener
444529,gas_station
10774,gastroenterologist
13848,gastropub
25,gay_and_lesbian_services_organization
3309,gay_bar
4909,gelato
264,gemstone_and_mineral
450,genealogists
38587,general_dentistry
611,general_festivals
1260,general_litigation
62,generator_installation_repair
95,geneticist
102,gents_tailor
2,geologic_formation
2884,geological_services
1088,georgian_restaurant
578,geriatric_medicine
52,geriatric_psychiatry
22959,german_restaurant
345,gerontologist
27207,gift_shop
28525,glass_and_mirror_sales_service
659,glass_blowing
3871,glass_manufacturer
8,gliderports
739,gluten_free_restaurant
2916,go_kart_club
124,go_kart_track
1809,gold_buyer
86,goldsmith
2044,golf_cart_dealer
76,golf_cart_rental
2157,golf_club
17990,golf_course
1425,golf_equipment
2085,golf_instructor
4821,government_services
1055,grain_elevators
1078,grain_production
4437,granite_supplier
59639,graphic_designer
61,gravel_professionals
30791,greek_restaurant
132,greengrocer
217,greenhouses
432,grilling_equipment
536917,grocery_store
279,grout_service
145,guatemalan_restaurant
4883,guest_house
539,guitar_store
10402,gun_and_ammo
5,gunsmith
4797,gutter_service
518205,gym
9907,gymnastics_center
30,gymnastics_club
2075,hair_extensions
746,hair_loss_center
20995,hair_removal
4056,hair_replacement
173134,hair_salon
9881,hair_stylist
10934,hair_supply_stores
110,haitian_restaurant
10949,halal_restaurant
2193,halfway_house
15,halotherapy
949,handbag_stores
1,handball_court
1049,handicraft_shop
4050,handyman
68,hang_gliding_center
238506,hardware_store
3128,hat_shop
1746,haunted_house
