Category code;Overture Taxonomy;Meta Taxonomy;MSFT Taxonomy
kurdish_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,kurdish_restaurant];[kurdish_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[not_available]
lebanese_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,lebanese_restaurant];[lebanese_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Middle eastern restaurant|Lebanese restaurant]
persian_iranian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,persian_iranian_restaurant];[persian_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Persian/Iranian restaurant]
syrian_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,syrian_restaurant];[syrian_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];[Restaurant|Syrian restaurant]
turkish_restaurant;[eat_and_drink,restaurant,middle_eastern_restaurant,turkish_restaurant];[turkish_restaurant,middle_eastern_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Turkish restaurant];[Restaurant|Turkish restaurant|Chee kufta];[Restaurant|Cig kofte restaurant]"
asian_restaurant;[eat_and_drink,restaurant,asian_restaurant];[asian_restaurant,restaurant,food_beverage,super_business];[not_available]
asian_fusion_restaurant;[eat_and_drink,restaurant,asian_restaurant,asian_fusion_restaurant];[asian_fusion_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Asian fusion restaurant]
pan_asian_restaurant;[eat_and_drink,restaurant,asian_restaurant,pan_asian_restaurant];[not_available];[Restaurant|Pan asian restaurant]
burmese_restaurant;[eat_and_drink,restaurant,asian_restaurant,burmese_restaurant];[burmese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Burmese restaurant]
cambodian_restaurant;[eat_and_drink,restaurant,asian_restaurant,cambodian_restaurant];[cambodian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Cambodian restaurant]
chinese_restaurant;[eat_and_drink,restaurant,asian_restaurant,chinese_restaurant];"[chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[anhui_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[beijing_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[cantonese_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[dongbei_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[fujian_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[guizhou_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[hainan_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[henan_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[hot_pot_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[huaiyang_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[hubei_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[hunan_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[imperial_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[jiangsu_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[jiangxi_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[macanese_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[manchu_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[shaanxi_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[shandong_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[shanghainese_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[shanxi_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[szechuan_sichuan_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[tianjin_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[xinjiang_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[yunnan_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[zhejiang_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business]";"[Restaurant|Chinese restaurant];[Restaurant|Chinese restaurant|Anhui];[Restaurant|Chinese restaurant|Beijing];[Restaurant|Chinese restaurant|Difang food];[Restaurant|Chinese restaurant|Fujian];[Restaurant|Chinese restaurant|Hot pot];[Restaurant|Chinese restaurant|Jiangsu];[Restaurant|Chinese restaurant|Qingzhen];[Restaurant|Chinese restaurant|Shandong];[Restaurant|Chinese restaurant|Zhejiang];[Restaurant|Chinese restaurant|Cantonese restaurant];[Restaurant|Chinese restaurant|Hainan restaurant];[Restaurant|Chinese restaurant|Hakka restaurant];[Restaurant|Chinese restaurant|Hunan restaurant];[Restaurant|Chinese restaurant|Pekinese restaurant];[Restaurant|Chinese restaurant|Shanghai restaurant];[Restaurant|Chinese restaurant|Szechuan restaurant]"
dim_sum_restaurant;[eat_and_drink,restaurant,asian_restaurant,dim_sum_restaurant];[dim_sum_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Chinese restaurant|Dim sum restaurant]
filipino_restaurant;[eat_and_drink,restaurant,asian_restaurant,filipino_restaurant];[filipino_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Filipino restaurant]
indo_chinese_restaurant;[eat_and_drink,restaurant,asian_restaurant,indo_chinese_restaurant];[indo_chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[not_available]
